tempo_h,p_man,q_tr
"1125,432859","3,670330","191,032374"
"1126,433244","3,721675","191,070339"
"1127,433628","3,768282","191,104796"
"1128,434013","3,810590","191,136069"
"1129,434398","3,848995","191,164453"
"1130,434783","3,883857","191,190216"
"1131,435167","3,915504","191,213600"
"1132,435552","3,944231","191,234824"
"1133,435937","3,970308","191,254088"
"1134,436322","3,993980","191,271574"
"1135,436706","4,015468","191,287446"
"1136,437091","4,034974","191,301852"
"1137,437476","4,052680","191,314929"
"1138,437861","4,068753","191,326798"
"1139,438245","4,083343","191,337572"
"1140,438630","4,096588","191,347352"
"1141,439015","4,108610","191,356229"
"1142,439400","4,119524","191,364287"
"1143,439785","4,129431","191,371602"
"1144,440169","4,138424","191,378241"
"1145,440554","4,146587","191,384268"
"1146,440939","4,153997","191,389738"
"1147,441324","4,160724","191,394704"
"1148,441708","4,166830","191,399212"
"1149,442093","4,172373","191,403303"
"1150,442478","4,177404","191,407018"
"1151,442863","4,181972","191,410389"
"1152,443247","4,186118","191,413450"
"1153,443632","4,189881","191,416228"
"1154,444017","4,193298","191,418749"
"1155,444402","4,196399","191,421039"
"1156,444786","4,199214","191,423117"
"1157,445171","4,201770","191,425003"
"1158,445556","4,204089","191,426715"
"1159,445941","4,206195","191,428269"
"1160,446326","4,208106","191,429680"
"1161,446710","4,209841","191,430960"
"1162,447095","4,211415","191,432122"
"1163,447480","4,212844","191,433177"
"1164,447865","4,214141","191,434134"
"1165,448249","4,215318","191,435003"
"1166,448634","4,216387","191,435792"
"1167,449019","4,217357","191,436508"
"1168,449404","4,218237","191,437157"
"1169,449788","4,219037","191,437748"
"1170,450173","4,219762","191,438283"
"1171,450558","4,220421","191,438769"
"1172,450943","4,221020","191,439211"
"1173,451327","4,221563","191,439612"
"1174,451712","4,222056","191,439976"
"1175,452097","4,222504","191,440306"
"1176,452482","4,222910","191,440606"
"1177,452866","4,223279","191,440879"
"1178,453251","4,223614","191,441126"
"1179,453636","4,223919","191,441351"
"1180,454021","4,224195","191,441554"
"1181,454406","4,224445","191,441739"
"1182,454790","4,224673","191,441907"
"1183,455175","4,224879","191,442060"
"1184,455560","4,225067","191,442198"
"1185,455945","4,225237","191,442324"
"1186,456329","4,225392","191,442438"
"1187,456714","4,225532","191,442541"
"1188,457099","4,225659","191,442635"
"1189,457484","4,225775","191,442721"
"1190,457868","4,225880","191,442798"
"1191,458253","4,225976","191,442869"
"1192,458638","4,226062","191,442933"
"1193,459023","4,226141","191,442991"
"1194,459407","4,226212","191,443043"
"1195,459792","4,226277","191,443091"
"1196,460177","4,226336","191,443135"
"1197,460562","4,226389","191,443174"
"1198,460947","4,226438","191,443210"
"1199,461331","4,226482","191,443242"
"1200,461716","4,226482","191,443242"
"1201,462101","4,226521","191,443271"
"1202,462486","4,226556","191,443297"
"1203,462870","4,226585","191,443319"
"1204,463255","4,226614","191,443340"
"1205,463640","4,226639","191,443358"
"1206,464025","4,226663","191,443376"
"1207,464409","4,226683","191,443391"
"1208,464794","4,226704","191,443406"
"1209,465179","4,226722","191,443420"
"1210,465564","4,226740","191,443433"
"1211,465948","4,226756","191,443445"
"1212,466333","4,226771","191,443456"
"1213,466718","4,226784","191,443466"
"1214,467103","4,226797","191,443475"
"1215,467487","4,226808","191,443483"
"1216,467872","4,226818","191,443491"
"1217,468257","4,226828","191,443498"
"1218,468642","4,226837","191,443505"
"1219,469027","4,226845","191,443511"
"1220,469411","4,226853","191,443517"
"1221,469796","4,226860","191,443522"
"1222,470181","4,226866","191,443526"
"1223,470566","4,226872","191,443530"
"1224,470950","4,226877","191,443534"
"1225,471335","4,226881","191,443537"
"1226,471720","4,226886","191,443540"
"1227,472105","4,226890","191,443543"
"1228,472489","4,226893","191,443546"
"1229,472874","4,226896","191,443548"
"1230,473259","4,226898","191,443550"
