tempo,p_man,q_tr
"8748,364756","4,224879","191,442060"
"8763,370527","4,225067","191,442198"
"8778,376299","4,225237","191,442324"
"8793,382070","4,225392","191,442438"
"8808,387841","4,225532","191,442541"
"8823,393613","4,225659","191,442635"
"8838,399384","4,225775","191,442721"
"8853,405156","4,225880","191,442798"
"8868,410927","4,225976","191,442869"
"8883,416699","4,226062","191,442933"
"8898,422470","4,226141","191,442991"
"8913,428242","4,226212","191,443043"
"8928,434013","4,226277","191,443091"
"8943,439785","4,226336","191,443135"
"8958,445556","4,226389","191,443174"
"8973,451327","4,226438","191,443210"
"8988,457099","4,226482","191,443242"
"9003,462870","4,226482","191,443242"
"9018,468642","4,226521","191,443271"
"9033,474413","4,226556","191,443297"
"9048,480185","4,226585","191,443319"
"9063,485956","4,226614","191,443340"
"9078,491728","4,226639","191,443358"
"9093,497499","4,226663","191,443376"
"9108,503270","4,226683","191,443391"
"9123,509042","4,226704","191,443406"
"9138,514813","4,226722","191,443420"
"9153,520585","4,226740","191,443433"
"9168,526356","4,226756","191,443445"
"9183,532128","4,226771","191,443456"
"9198,537899","4,226784","191,443466"
"9213,543671","4,226797","191,443475"
"9228,549442","4,226808","191,443483"
"9243,555214","4,226818","191,443491"
"9258,560985","4,226828","191,443498"
"9273,566756","4,226837","191,443505"
"9288,572528","4,226845","191,443511"
"9303,578299","4,226853","191,443517"
"9318,584071","4,226860","191,443522"
"9333,589842","4,226866","191,443526"
"9348,595614","4,226872","191,443530"
"9363,601385","4,226877","191,443534"
"9378,607157","4,226881","191,443537"
"9393,612928","4,226886","191,443540"
"9408,618699","4,226890","191,443543"
"9423,624471","4,226893","191,443546"
"9438,630242","4,226896","191,443548"
"9453,636014","4,226898","191,443550"
"9468,641785","4,226900","191,443551"
"9483,647557","4,226902","191,443552"
"9498,653328","4,226904","191,443554"
"9513,659100","4,226906","191,443555"
"9528,664871","4,226907","191,443556"
"9543,670643","4,226909","191,443557"
"9558,676414","4,226910","191,443558"
"9573,682185","4,226910","191,443559"
"9588,687957","4,226911","191,443559"
"9603,693728","4,226912","191,443560"
"9618,699500","4,226913","191,443561"
"9633,705271","4,226913","191,443561"
"9648,711043","4,226914","191,443561"
"9663,716814","4,226914","191,443562"
"9678,722586","4,226915","191,443562"
"9693,728357","4,226915","191,443562"
"9708,734129","4,226915","191,443562"
"9723,739900","4,226915","191,443562"
"9738,745671","4,226916","191,443563"
"9753,751443","4,226916","191,443563"
"9768,757214","4,226916","191,443563"
"9783,762986","4,226916","191,443563"
"9798,768757","4,226916","191,443563"
"9813,774529","4,226916","191,443563"
"9828,780300","4,226916","191,443563"
"9843,786072","4,226916","191,443563"
"9858,791843","4,226916","191,443563"
"9873,797614","4,226916","191,443563"
"9888,803386","4,226916","191,443563"
"9903,809157","4,226916","191,443563"
"9918,814929","4,226916","191,443563"
"9933,820700","4,226916","191,443563"
"9948,826472","4,226916","191,443563"
"9963,832243","4,226916","191,443563"
"9978,838015","4,226916","191,443563"
"9993,843786","4,226916","191,443563"
"10008,849558","4,226916","191,443563"
"10023,855329","4,226916","191,443563"
"10038,861100","4,226916","191,443563"
"10053,866872","4,226916","191,443563"
"10068,872643","4,226916","191,443563"
"10083,878415","4,226916","191,443563"
"10098,884186","4,226916","191,443563"
"10113,889958","4,226916","191,443563"
"10128,895729","4,226916","191,443563"
"10143,901501","4,226916","191,443563"
"10158,907272","4,226916","191,443563"
"10173,913043","4,226915","191,443563"
"10188,918815","4,226915","191,443563"
"10203,924586","4,226915","191,443563"
"10218,930358","4,226915","191,443563"
"10233,936129","4,226915","191,443563"
"10248,941901","4,226915","191,443563"
"10263,947672","4,226915","191,443563"
"10278,953444","4,226915","191,443563"
"10293,959215","4,226915","191,443563"
"10308,964987","4,226915","191,443563"
"10323,970758","4,226915","191,443562"
"10338,976529","4,226915","191,443562"
"10353,982301","4,226915","191,443562"
"10368,988072","4,226915","191,443562"
"10383,993844","4,226915","191,443562"
"10398,999615","4,226915","191,443562"
"10414,005387","4,226915","191,443562"
"10429,011158","4,226915","191,443562"
"10444,016930","4,226915","191,443562"
"10459,022701","4,226915","191,443562"
"10474,028472","4,226915","191,443562"
"10489,034244","4,226915","191,443562"
"10504,040015","4,226915","191,443562"
"10519,045787","5,492155","192,370536"
"10534,051558","6,401873","193,038100"
"10549,057330","7,217015","193,634421"
"10564,063101","7,952628","194,171133"
"10579,068873","8,616810","194,654576"
"10594,074644","9,216500","195,090146"
"10609,080416","9,757945","195,482654"
"10624,086187","10,246785","195,836417"
"10639,091958","10,688124","196,155307"
"10654,097730","11,086562","196,442797"
"10669,103501","11,446262","196,702009"
"10684,109273","11,770979","196,935745"
"10699,115044","12,064109","197,146529"
"10714,120816","12,328719","197,336630"
"10729,126587","12,567578","197,508089"
